# cGAS-STING / Type-I-IFN / IL-6 / ISG host reactivation gene panel
#
# Purpose: input panel for bin/score_host_reactivation.py, which computes a
# per-donor "host reactivation score" from host_gene_expression_matrix.tsv
# (the v2.0.0 host-quant arm output; params.run_host_quant). Built for the
# Phase I STTR application (Ataraxia Bio / Price Lab) Preliminary Data
# deliverable: a per-donor cGAS-STING/type-I-IFN/IL-6/ISG reactivation score,
# tested for correlation against existing viral RPM data.
#
# Format: gene_id <tab> gene_symbol <tab> gene_biotype <tab> category <tab> source <tab> notes
# Lines starting with # are comments. gene_id matches the gene_id column of
# host_gene_expression_matrix.tsv (GENCODE v48, via assets/gene_id_name_biotype.tsv).
#
# Sourcing (defensible for external/grant use):
#   - category=type_I_IFN_response_ISG (102 genes): 97 genes are the verbatim
#     MSigDB Hallmark HALLMARK_INTERFERON_ALPHA_RESPONSE gene set (v2023.2.Hs;
#     Liberzon et al. 2015 Cell Systems; Subramanian et al. 2005 PNAS GSEA),
#     downloaded directly from gsea-msigdb.org 2026-07-15 and used unmodified.
#     5 additional canonical ISGs (MX2, OAS2, OAS3, IFIT1, RIGI/DDX58) were
#     added by hand because they are widely used in the ISG-signature
#     literature but are confirmed (by direct membership check against the
#     downloaded file) to be absent from the Hallmark IFN-alpha set.
#   - category=cGAS_STING_core (6 genes): hand-curated canonical cGAS-STING
#     pathway *signaling machinery* (CGAS, STING1, TBK1, IKBKE, IRF3, IFNB1).
#     These are deliberately NOT drawn from a Hallmark "response" gene set,
#     which captures transcriptional output, not the upstream sensor/adaptor/
#     kinase/TF machinery itself. Gene symbols use current HGNC nomenclature
#     as it appears in GENCODE v48 (CGAS not MB21D1; STING1 not TMEM173).
#     Key refs: Sun et al. 2013 Science (cGAS); Ishikawa & Barber 2008 Nature
#     (STING).
#   - category=IL6_JAK_STAT3_axis (88 genes): 87 genes are the verbatim MSigDB
#     Hallmark HALLMARK_IL6_JAK_STAT3_SIGNALING gene set (v2023.2.Hs), same
#     source/date as above, used unmodified. Note this Hallmark set is a
#     general gp130/JAK/STAT3 signaling set (it includes many cytokine/
#     receptor genes beyond IL-6 itself, e.g. IL1B, CSF2, LTBR, IFNAR1) -- it
#     is NOT an IL-6-specific gene list. It was chosen anyway for defensibility
#     (verbatim public gene set, not hand-picked) with this caveat documented
#     here. IL6R was added by hand because it is confirmed absent from the
#     Hallmark set (which includes IL6 and IL6ST but not the receptor IL6R).
#
# 8 genes appear in two categories (semicolon-joined in the category column)
# because they are members of more than one source gene set (e.g. CXCL10,
# CXCL11, CSF1 appear in both the IFN-alpha and IL6/JAK/STAT3 Hallmark sets).
#
# All 188 gene symbols resolved cleanly (0 unmatched) against
# assets/gene_id_name_biotype.tsv (GENCODE v48, ~79k gene_id/name/biotype rows).
# Built 2026-07-15 as part of the host-quant-arm smoke-test / STTR Preliminary
# Data tooling session (see docs/tooling_progress_plan.md).
ENSG00000119535.20	CSF3R	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000163739.5	CXCL1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000156234.8	CXCL13	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000163734.4	CXCL3	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000138755.6	CXCL9	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000107447.8	DNTT	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000105246.6	EBI3	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000026103.25	FAS	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000177885.15	GRB2	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000143575.16	HAX1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000100292.18	HMOX1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000142166.15	IFNAR1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000027697.16	IFNGR1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000159128.16	IFNGR2	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000243646.11	IL10RB	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000096996.16	IL12RB1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000131724.11	IL13RA1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000134470.21	IL15RA	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000177663.15	IL17RA	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000056736.10	IL17RB	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000115604.12	IL18R1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000125538.12	IL1B	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000115594.12	IL1R1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000115590.14	IL1R2	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000134460.19	IL2RA	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000147168.14	IL2RG	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000185291.12	IL3RA	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000136244.12	IL6	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000160712.13	IL6R	protein_coding	IL6_JAK_STAT3_axis	hand-curated (canonical IL-6 receptor, absent from Hallmark IL6/JAK/STAT3 set)	IL-6 receptor alpha subunit; confirmed absent from HALLMARK_IL6_JAK_STAT3_SIGNALING (which includes IL6 and IL6ST but not IL6R).
ENSG00000134352.21	IL6ST	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000124334.19	IL9R	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000139269.3	INHBE	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000115232.14	ITGA4	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000259207.10	ITGB3	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000177606.9	JUN	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000116678.20	LEPR	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000227507.3	LTB	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000111321.11	LTBR	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000107968.10	MAP3K8	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000172936.18	MYD88	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000145623.13	OSMR	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000145431.11	PDGFC	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000163737.5	PF4	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000141506.15	PIK3R5	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000137193.14	PIM1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000188257.12	PLA2G2A	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000196396.10	PTPN1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000179295.19	PTPN11	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000175354.20	PTPN2	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000115386.6	REG1A	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000185338.7	SOCS1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000184557.4	SOCS3	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000115145.10	STAM2	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000115415.21	STAT1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000168610.17	STAT3	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000105329.11	TGFB1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000137462.10	TLR2	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000232810.5	TNF	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000006327.14	TNFRSF12A	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000067182.9	TNFRSF1A	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000028137.19	TNFRSF1B	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000146072.6	TNFRSF21	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000105397.16	TYK2	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000164430.17	CGAS	protein_coding	cGAS_STING_core	hand-curated (pathway machinery, not a Hallmark response gene set member)	Cytosolic dsDNA sensor (current HGNC symbol; formerly MB21D1). Sun et al. 2013 Science.
ENSG00000171855.7	IFNB1	protein_coding	cGAS_STING_core	hand-curated (pathway machinery, not a Hallmark response gene set member)	Type I interferon-beta ligand; direct transcriptional output of the cGAS-STING-TBK1-IRF3 axis.
ENSG00000263528.8	IKBKE	protein_coding	cGAS_STING_core	hand-curated (pathway machinery, not a Hallmark response gene set member)	IKKe, TBK1 paralog kinase, redundant/cooperative role in IRF3 activation.
ENSG00000126456.16	IRF3	protein_coding	cGAS_STING_core	hand-curated (pathway machinery, not a Hallmark response gene set member)	Transcription factor activated by TBK1/IKBKE; drives IFNB1 transcription.
ENSG00000184584.14	STING1	protein_coding	cGAS_STING_core	hand-curated (pathway machinery, not a Hallmark response gene set member)	ER adaptor, activates TBK1/IRF3 (current HGNC symbol; formerly TMEM173). Ishikawa & Barber 2008 Nature.
ENSG00000183735.11	TBK1	protein_coding	cGAS_STING_core	hand-curated (pathway machinery, not a Hallmark response gene set member)	Kinase that phosphorylates IRF3/IRF7 downstream of STING1.
gene_id	gene_symbol	gene_biotype	category	source	notes
ENSG00000160710.19	ADAR	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000166710.23	B2M	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000168062.10	BATF2	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000130303.14	BST2	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000182326.17	C1S	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000137752.25	CASP1	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000064012.24	CASP8	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000121797.10	CCRL2	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000196776.17	CD47	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000019582.17	CD74	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000134326.12	CMPK2	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000137200.13	CMTR1	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000173786.17	CNP	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000137628.18	DDX60	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000108771.13	DHX58	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000055332.19	EIF2AK2	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000120690.17	ELF1	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000133106.15	EPSTI1	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000162645.13	GBP2	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000162654.9	GBP4	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000137198.10	GMPR	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000130589.16	HELZ2	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000138642.16	HERC6	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000204525.18	HLA-C	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000165949.13	IFI27	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000216490.4	IFI30	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000068079.8	IFI35	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000137965.11	IFI44	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000137959.17	IFI44L	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000115267.10	IFIH1	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000185745.10	IFIT1	protein_coding	type_I_IFN_response_ISG	hand-curated (canonical ISG, absent from Hallmark IFN-alpha set)	Canonical ISG, cap-methylation-dependent translation restriction; not in Hallmark IFN-alpha set (IFIT2/IFIT3 are).
ENSG00000119922.11	IFIT2	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000119917.15	IFIT3	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000185885.17	IFITM1	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000185201.18	IFITM2	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000142089.17	IFITM3	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000164136.17	IL15	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000168310.12	IRF2	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000185507.21	IRF7	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000187608.10	ISG15	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000172183.16	ISG20	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000078081.8	LAMP3	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000002549.13	LAP3	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000108679.13	LGALS3BP	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000139679.16	LPAR6	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
ENSG00000160932.11	LY6E	protein_coding	type_I_IFN_response_ISG	MSigDB HALLMARK_INTERFERON_ALPHA_RESPONSE (v2023.2.Hs)	
